amfi_code,VaR_95,CVaR_95
119599,-0.026859,-0.032384
119095,-0.026188,-0.031667
101207,-0.026021,-0.032459
118634,-0.025438,-0.032304
119598,-0.024507,-0.030595
149324,-0.023483,-0.031036
102886,-0.01922,-0.023251
100033,-0.019034,-0.023456
120505,-0.018892,-0.024342
119094,-0.01848,-0.02426
125498,-0.018365,-0.023094
120842,-0.018219,-0.022725
149323,-0.017882,-0.022607
148569,-0.017118,-0.021328
102887,-0.015232,-0.019411
148568,-0.014712,-0.018765
125497,-0.014592,-0.01831
120843,-0.014508,-0.018381
149322,-0.014474,-0.018402
120506,-0.014388,-0.019405
100016,-0.014364,-0.01806
119093,-0.014226,-0.017487
118632,-0.013954,-0.017619
119092,-0.01375,-0.017328
120504,-0.013728,-0.017494
148567,-0.01356,-0.017623
120503,-0.01355,-0.017451
119552,-0.013501,-0.017336
118633,-0.013443,-0.01663
101206,-0.013282,-0.017439
120841,-0.013142,-0.016363
119551,-0.012846,-0.016397
102885,-0.012613,-0.01549
118635,-0.012554,-0.016177
119120,-0.003938,-0.005014
118636,-0.003804,-0.004919
100025,-0.003793,-0.004994
120844,-0.000285,-0.000411
101208,-0.000269,-0.000422
120507,-0.000222,-0.000373
